time,tremor_score_blue,activity_score_red
2025-06-01 00:00:00+00:00,0.03224636315765798,
2025-06-01 01:00:00+00:00,0.031080015184346697,
2025-06-01 02:00:00+00:00,0.030339771373661197,
2025-06-01 03:00:00+00:00,0.029715470378410828,
2025-06-01 04:00:00+00:00,0.028721909144786766,
2025-06-01 05:00:00+00:00,0.028284029605122055,
2025-06-01 06:00:00+00:00,0.028620798327357033,
2025-06-01 07:00:00+00:00,0.029289958871330304,
2025-06-01 08:00:00+00:00,0.029260165544273027,
2025-06-01 09:00:00+00:00,0.028296383722727612,
2025-06-01 10:00:00+00:00,0.027088373018760062,
2025-06-01 11:00:00+00:00,0.024812627021079163,
2025-06-01 12:00:00+00:00,0.02220385327481934,0.4441140283249263
2025-06-01 13:00:00+00:00,0.02051182612911495,0.4458902957997802
2025-06-01 14:00:00+00:00,0.019482860532169504,0.44713007857541515
2025-06-01 15:00:00+00:00,0.020098587661781582,0.44831254816371113
2025-06-01 16:00:00+00:00,0.02146217408064816,0.44973242901133176
2025-06-01 17:00:00+00:00,0.022836007356453303,0.45024435462831597
2025-06-01 18:00:00+00:00,0.0238393340690318,0.450564696886081
2025-06-01 19:00:00+00:00,0.024138752653254478,0.45154360834954416
2025-06-01 20:00:00+00:00,0.024944133128532043,0.45247480741106544
2025-06-01 21:00:00+00:00,0.026286449898620032,0.455139357904426
2025-06-01 22:00:00+00:00,0.027284425165183097,0.45832958416009045
2025-06-01 23:00:00+00:00,0.02867349850642045,0.46098325092634357
2025-06-02 00:00:00+00:00,0.030786024664029615,0.46055297387009
2025-06-02 01:00:00+00:00,0.03306807957563656,0.4600122770575981
2025-06-02 02:00:00+00:00,0.03351007568367342,0.4600310052740293
2025-06-02 03:00:00+00:00,0.034316534995422567,0.46004820068244057
2025-06-02 04:00:00+00:00,0.03756926771443576,0.4514407734444378
2025-06-02 05:00:00+00:00,0.04351403291332889,0.4385560476228227
2025-06-02 06:00:00+00:00,0.04933412075273472,0.42615290057711613
2025-06-02 07:00:00+00:00,0.053838000283882574,0.4144511334616209
2025-06-02 08:00:00+00:00,0.05734678220342053,0.4016064907583932
2025-06-02 09:00:00+00:00,0.06004023623106016,0.3930512406961718
2025-06-02 10:00:00+00:00,0.06232122914663199,0.3828375029410541
2025-06-02 11:00:00+00:00,0.06217703815135384,0.3691847249866498
2025-06-02 12:00:00+00:00,0.0618073493462667,0.356197572475117
2025-06-02 13:00:00+00:00,0.06274762615188992,0.34261652221747024
2025-06-02 14:00:00+00:00,0.06353147775688585,0.33230701521080636
2025-06-02 15:00:00+00:00,0.06429330352344621,0.3236107681428967
2025-06-02 16:00:00+00:00,0.06458328409496737,0.31551823454295946
2025-06-02 17:00:00+00:00,0.06397284978829747,0.3062747395547362
2025-06-02 18:00:00+00:00,0.06309628194851721,0.29595787173901356
2025-06-02 19:00:00+00:00,0.061189174243282594,0.28465199000931773
2025-06-02 20:00:00+00:00,0.05932717097297826,0.2758472762239589
2025-06-02 21:00:00+00:00,0.057531193299913984,0.26669098468302116
2025-06-02 22:00:00+00:00,0.05727344504594494,0.2544979818154399
2025-06-02 23:00:00+00:00,0.055898604289434876,0.24321448805319987
2025-06-03 00:00:00+00:00,0.05218739386419435,0.23516831535161675
2025-06-03 01:00:00+00:00,0.04634066943877223,0.22673725866664018
2025-06-03 02:00:00+00:00,0.04001593117472011,0.21721217496859915
2025-06-03 03:00:00+00:00,0.03566769556113689,0.2083407165572771
2025-06-03 04:00:00+00:00,0.03228743252457732,0.2065146781166321
2025-06-03 05:00:00+00:00,0.0291587549131336,0.20585409652892508
2025-06-03 06:00:00+00:00,0.027067294992807172,0.2063655679795333
2025-06-03 07:00:00+00:00,0.02660655045405954,0.20831192471873464
2025-06-03 08:00:00+00:00,0.026019662428818813,0.21184083075182708
2025-06-03 09:00:00+00:00,0.024719007019996846,0.21404813612316412
2025-06-03 10:00:00+00:00,0.024771274968801216,0.21182008131137836
2025-06-03 11:00:00+00:00,0.026456910957258876,0.21066891601316864
2025-06-03 12:00:00+00:00,0.027893674782154775,0.20884750114837683
2025-06-03 13:00:00+00:00,0.02878045106560664,0.2090397555086266
2025-06-03 14:00:00+00:00,0.029152684806326,0.20938647817379002
2025-06-03 15:00:00+00:00,0.029146089396749172,0.2080336341981748
2025-06-03 16:00:00+00:00,0.029615426124561663,0.20393040246422844
2025-06-03 17:00:00+00:00,0.030650153923317196,0.20000351801957905
2025-06-03 18:00:00+00:00,0.03153006771302595,0.19670450314908738
2025-06-03 19:00:00+00:00,0.032784215888148914,0.1923433567842387
2025-06-03 20:00:00+00:00,0.034671254023966015,0.18599664551389586
2025-06-03 21:00:00+00:00,0.03725149594183748,0.18023634276746225
2025-06-03 22:00:00+00:00,0.03952790863780322,0.1769587371109428
2025-06-03 23:00:00+00:00,0.04120636979647038,0.1735640623121842
2025-06-04 00:00:00+00:00,0.0432702168063611,0.169857901153446
2025-06-04 01:00:00+00:00,0.04629322530533136,0.16892329842165923
2025-06-04 02:00:00+00:00,0.049318193716836954,0.17284668014927992
2025-06-04 03:00:00+00:00,0.054252741918454354,0.17737734516653358
2025-06-04 04:00:00+00:00,0.05765951096786746,0.1815492052955478
2025-06-04 05:00:00+00:00,0.05908427347397212,0.18756466953122394
2025-06-04 06:00:00+00:00,0.05894437812979922,0.19322333262289157
2025-06-04 07:00:00+00:00,0.05654607608011008,0.19672726473347923
2025-06-04 08:00:00+00:00,0.05423314956973127,0.19840058066842575
2025-06-04 09:00:00+00:00,0.05286593739294512,0.1997830035749332
